1,-2.869580
2,-3.226229
3,-3.586125
4,-3.899983
5,-4.153839
6,-4.381709
7,-4.633931
8,-4.855442
9,-5.237077
10,-5.397549
11,-5.641051
12,-5.929230
13,-6.025136
14,-6.228241
15,-6.432792
16,-6.669181
17,-6.913378
18,-7.025856
19,-7.387646
20,-7.486381
21,-7.595943
22,-7.859360
23,-7.930312
24,-8.089377
25,-8.365630
26,-8.486258
27,-8.512234
28,-8.623459
29,-8.748622
30,-9.205381
31,-8.971766
32,-9.316606
33,-10.070378
34,-9.847235
35,-9.584870
36,-9.952595
37,-10.358060
38,-10.763525
39,-11.051207
40,-11.051207
41,-11.456673
42,-12.149820
43,-11.456673
44,-11.456673
45,-12.149820
46,-11.456673
47,-12.149820
48,-12.149820
49,-10.763525
50,-12.149820
51,-11.456673
52,-12.149820
54,-12.149820
55,-12.149820
56,-11.456673
57,-12.149820
58,-12.149820
62,-12.149820
63,-12.149820
66,-12.149820
67,-12.149820
69,-12.149820
70,-12.149820
72,-12.149820
87,-12.149820
92,-12.149820
98,-12.149820
102,-12.149820
------------------
